"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"Atlantic Av-Barclays Ctr","BKN","2/3/4/5/B/Q/LIRR","EL306","EL","UPTOWN 2, 3 PLATFORM TO MEZZANINE","Y"
NA,"Bay Parkway","BKN","D/M","EL378","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Bay Parkway","BKN","D/M","EL377","EL","MEZZANINE TO UPTOWN","Y"
NA,"Bay Parkway","BKN","D/M","EL376","EL","STREET TO MEZZANINE","Y"
NA,"Borough Hall","BKN","2/3/4/5","EL318","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y"
NA,"Borough Hall","BKN","2/3/4/5","ES303","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"Borough Hall","BKN","2/3/4/5","EL317","EL","STREET TO MEZZANINE","Y"
NA,"Bowery","MN","J/Z","ES334","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Bowling Green","MN","4/5","ES341","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N"
NA,"Bowling Green","MN","4/5","ES340","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N"
