"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"Bowling Green","MN","4/5","ES336","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"Bowling Green","MN","4/5","EL711","EL","MEZZANINE TO DOWNTOWN","Y"
"Bowling Green","MN","4/5","EL710","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
"Bowling Green","MN","4/5","ES345","ES","UPPER MEZZANINE TO STREET","N"
"Briarwood - Van Wyck Blvd","QNS","E/F","EL424","EL","STREET TO MEZZANINE","N"
"Brighton Beach","BKN","B/Q","ES346","ES","STREET TO MEZZANINE","N"
"Broadway Jct","BKN","A/C/J/L/Z/LIRR","ES347","ES","STREET TO UPPER MEZZANINE","N"
"Broadway Jct","BKN","A/C/J/L/Z/LIRR","ES331","ES","STREET TO UPPER MEZZANINE","N"
"Broadway Jct","BKN","A/C/J/L/Z/LIRR","ES330","ES","STREET TO UPPER MEZZANINE","N"
"Broadway-Lafayette St","MN","B/D/F/6","EL329","EL","DOWNTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM","Y"
"Broadway-Lafayette St","MN","B/D/F/6","EL330","EL","DOWNTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM","Y"
"Broadway-Lafayette St","MN","B/D/F/6","ES300","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
"Broadway-Lafayette St","MN","B/D/F/6","EL328","EL","STREET TO MEZZANINE AND DOWNTOWN 6 PLATFORM","Y"
"Broadway-Lafayette St","MN","B/D/F/6","EL332","EL","UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM","Y"
