nyca_id,name,location,serving
5,Brooklyn Bridge - City Hall,East of City Hall near Chambers Street and Centre Street,Street To Mezzanine
5,Brooklyn Bridge - City Hall,,Mezzanine To Uptown
5,Brooklyn Bridge - City Hall,,Mezzanine To Downtown
57,Borough Hall,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine
57,Borough Hall,,Mezzanine To Uptown And Downtown Platforms
57,Borough Hall,,Southbound Platform To Mezzanine
59,DeKalb Ave,SE corner of DeKalb Avenue and Flatbush Avenue,Street To Mezzanine
59,DeKalb Ave,,Mezzanine To Uptown
59,DeKalb Ave,,Mezzanine To Downtown
59,DeKalb Ave,,Southbound Platform To Mezzanine
59,DeKalb Ave,,Northbound Platform To Mezzanine
67,Church Ave,SW corner of Church Avenue and Nostrand Avenue,Street To Downtown Platform
67,Church Ave,SE corner of Church Avenue and Nostrand Avenue,Street To Uptown Platform
69,Brooklyn College - Flatbush Ave,Corner of Flatbush Avenue and Nostrand Avenue,Street To Platforms
72,Crown Hts - Utica Ave,Corner of Utica Avenue and Eastern Parkway,Street To Mezzanine
72,Crown Hts - Utica Ave,,Mezzanine To Platforms
77,Marcy Ave,Corner of Marcy Avenue and Broadway,Street To Mezzanine And Downtown Platform
77,Marcy Ave,Corner of Marcy Avenue and Broadway,Street To Mezzanine & Uptown Platform
8,233rd St,NW corner of White Plains Road and 233 Street,Street To Mezzanine
8,233rd St,,Mezzanine To Uptown
8,233rd St,,Mezzanine To Platform
82,Lexington Ave - 53rd St,,Mezzanine To Platform
82,Lexington Ave - 53rd St,,Center Island Platform To Mezzanine
82,Lexington Ave - 53rd St,,Center Island Platform To Mezzanine (3rd Ave)
82,Lexington Ave - 53rd St,,Center Island Platform To Mezzanine (3rd Ave)
82,Lexington Ave - 53rd St,,Center Island Platform To Mezzanine
82,Lexington Ave - 53rd St,,Passageway Mezzanine To Platform E/M
82,Lexington Ave - 53rd St,,Center Island Platform To Mezzanine
84,Herald Sq - 34th St,Herald Center building on west side of Broadway south of 34th Street,Street To Mezzanine
84,Herald Sq - 34th St,,Mezzanine To Downtown
84,Herald Sq - 34th St,,Mezzanine To Uptown
84,Herald Sq - 34th St,,Mezzanine To Downtown
84,Herald Sq - 34th St,,Mezzanine To Uptown
84,Herald Sq - 34th St,,Mezzanine To Mall Landing
84,Herald Sq - 34th St,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,,Mall Landing To Street
84,Herald Sq - 34th St,,Northbound Platform To Mezzanine
84,Herald Sq - 34th St,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,,Northbound Platform To Mezzanine
84,Herald Sq - 34th St,,Mall Landing To Street
84,Herald Sq - 34th St,,Northbound Platform To Mezzanine
